,weir_N3,weir_N2,weir_N1,weir_C,orifice_S
2016-04-22 00:00:00,0.95,0.3,0.11000000000000001,0.4699999999999999,0.0
2016-04-22 00:05:00,0.95,0.3,0.11000000000000001,0.4699999999999999,0.0
2016-04-22 00:10:00,0.95,0.3,0.11,0.47,0.0
2016-04-22 00:15:00,0.95,0.3,0.11000000000000001,0.4699999999999999,0.0
2016-04-22 00:20:00,0.95,0.3,0.11000000000000001,0.4699999999999999,0.0
2016-04-22 00:25:00,0.95,0.3,0.11,0.47,0.0
2016-04-22 00:30:00,0.95,0.3,0.11000000000000001,0.4699999999999999,0.0
2016-04-22 00:35:00,0.95,0.3,0.11,0.47,0.0
2016-04-22 00:40:00,0.95,0.3,0.11000000000000001,0.4699999999999999,0.0
2016-04-22 00:45:00,0.95,0.3,0.11000000000000001,0.4699999999999999,0.0
2016-04-22 00:50:00,0.95,0.3,0.11,0.47,0.0
2016-04-22 00:55:00,0.95,0.3,0.11000000000000001,0.4699999999999999,0.0
2016-04-22 01:00:00,0.95,0.3,0.11,0.47,0.0
2016-04-22 01:05:00,0.95,0.3,0.11000000000000001,0.4699999999999999,0.0
2016-04-22 01:10:00,0.95,0.3,0.11000000000000001,0.4699999999999999,0.0
2016-04-22 01:15:00,0.95,0.3,0.11,0.47,0.0
2016-04-22 01:20:00,0.95,0.3,0.11000000000000001,0.4699999999999999,0.0
2016-04-22 01:25:00,0.95,0.3,0.11000000000000001,0.4699999999999999,0.0
2016-04-22 01:30:00,0.95,0.3,0.11,0.47,0.0
2016-04-22 01:35:00,0.95,0.3,0.11000000000000001,0.4699999999999999,0.0
2016-04-22 01:40:00,0.95,0.3,0.11,0.47,0.0
2016-04-22 01:45:00,0.95,0.3,0.11000000000000001,0.4699999999999999,0.0
2016-04-22 01:50:00,0.95,0.3,0.11000000000000001,0.4699999999999999,0.0
2016-04-22 01:55:00,0.95,0.3,0.11,0.47,0.0
2016-04-22 02:00:00,0.95,0.3,0.11000000000000001,0.4699999999999999,0.0
2016-04-22 02:05:00,0.95,0.3,0.11,0.47,0.0
2016-04-22 02:10:00,0.95,0.3,0.11000000000000001,0.4699999999999999,0.0
2016-04-22 02:15:00,0.95,0.3,0.11000000000000001,0.4699999999999999,0.0
2016-04-22 02:20:00,0.95,0.3,0.11,0.47,0.0
2016-04-22 02:25:00,0.95,0.3,0.11000000000000001,0.4699999999999999,0.0
2016-04-22 02:30:00,0.95,0.3,0.11000000000000001,0.4699999999999999,0.0
2016-04-22 02:35:00,0.95,0.3,0.11,0.47,0.0
2016-04-22 02:40:00,0.95,0.3,0.11000000000000001,0.4699999999999999,0.0
2016-04-22 02:45:00,0.95,0.3,0.11,0.47,0.0
2016-04-22 02:50:00,0.95,0.3,0.11000000000000001,0.4699999999999999,0.0
2016-04-22 02:55:00,0.95,0.3,0.11000000000000001,0.4699999999999999,0.0
2016-04-22 03:00:00,0.95,0.3,0.11,0.47,0.0
2016-04-22 03:05:00,0.95,0.3,0.11000000000000001,0.4699999999999999,0.0
2016-04-22 03:10:00,0.95,0.3,0.11,0.47,0.0
2016-04-22 03:15:00,0.95,0.3,0.11000000000000001,0.4699999999999999,0.0
2016-04-22 03:20:00,0.95,0.3,0.11000000000000001,0.4699999999999999,0.0
2016-04-22 03:25:00,0.95,0.3,0.11,0.47,0.0
2016-04-22 03:30:00,0.95,0.3,0.11000000000000001,0.4699999999999999,0.0
2016-04-22 03:35:00,0.95,0.3,0.11000000000000001,0.4699999999999999,0.0
2016-04-22 03:40:00,0.95,0.3,0.11,0.47,0.0
2016-04-22 03:45:00,0.95,0.3,0.11000000000000001,0.4699999999999999,0.0
2016-04-22 03:50:00,0.95,0.3,0.11,0.47,0.0
2016-04-22 03:55:00,0.95,0.3,0.11000000000000001,0.4699999999999999,0.0
2016-04-22 04:00:00,0.95,0.3,0.11000000000000001,0.4699999999999999,0.0
2016-04-22 04:05:00,0.95,0.3,0.11,0.47,0.0
2016-04-22 04:10:00,0.95,0.3,0.11000000000000001,0.4699999999999999,0.0
2016-04-22 04:15:00,0.95,0.3,0.11,0.47,0.0
2016-04-22 04:20:00,0.95,0.3,0.11000000000000001,0.4699999999999999,0.0
2016-04-22 04:25:00,0.95,0.3,0.11000000000000001,0.4699999999999999,0.0
2016-04-22 04:30:00,0.95,0.3,0.11,0.47,0.0
2016-04-22 04:35:00,0.95,0.3,0.11000000000000001,0.4699999999999999,0.0
2016-04-22 04:40:00,0.95,0.3,0.11000000000000001,0.4699999999999999,0.0
2016-04-22 04:45:00,0.95,0.3,0.11,0.47,0.0
2016-04-22 04:50:00,0.95,0.3,0.11000000000000001,0.4699999999999999,0.0
2016-04-22 04:55:00,0.95,0.3,0.11,0.47,0.0
2016-04-22 05:00:00,0.95,0.3,0.11000000000000001,0.4699999999999999,0.0
2016-04-22 05:05:00,0.95,0.3,0.11000000000000001,0.4699999999999999,0.0
2016-04-22 05:10:00,0.95,0.3,0.11,0.47,0.0
2016-04-22 05:15:00,0.95,0.3,0.11000000000000001,0.4699999999999999,0.0
2016-04-22 05:20:00,0.95,0.3,0.11,0.47,0.0
2016-04-22 05:25:00,0.95,0.3,0.11000000000000001,0.4699999999999999,0.0
2016-04-22 05:30:00,0.95,0.3,0.11000000000000001,0.4699999999999999,0.0
2016-04-22 05:35:00,0.95,0.3,0.11,0.47,0.0
2016-04-22 05:40:00,0.95,0.3,0.11000000000000001,0.4699999999999999,0.0
